"id","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","y","Land","log_y","log_x1","log_x2","log_x5","log_x11","log_x17","log_x18"
74,9210543.8,4873685,61.76,38.24,52.9149205,276662.5,1368362.5,1040075,706806.25,32700,5617287.5,0,92806.25,0,75843.75,168.008674,1123091,1174665,33.2205007,"LITHUANIA",13857.18,"LITHUANIA",9.53655878883898,16.0358594510053,15.399360882437,3.96868535013503,15.5413596321326,13.9315961537845,13.976494409833
75,28583425,6647906,74.37,25.63,23.2578117,820975,13861162.5,4609150,60625,132518.75,4231818.75,0,4777675,0,89500,254.21571,332348,419807,23.5200007,"RUSSIA",24018.65,"RUSSIA",10.0865858908905,17.1683375623342,15.7098124758266,3.14664106269911,15.2581426594582,12.713940900589,12.9475527428808
76,273706.3,58884,37.98,62.02,21.509005,1081.25,214437.5,32781.25,106.25,756.25,13562.5,0,6868.75,0,4112.5,538.017348,7954,6285,91.6000032,"SWEDEN",658.22806,"SWEDEN",6.48955146701957,12.5198109126667,10.9833246858779,3.0684716846551,9.51513764028359,8.98155594077189,8.74608021735751
77,2253443.8,1367097,84.92,15.08,60.669027,9893.75,967737.5,468437.5,606.25,6918.75,494206.25,0,231331.25,0,74312.5,220.091568,289852,229017,91.6000032,"SWEDEN",1268.855,"SWEDEN",7.14587019798648,14.6279701818181,14.1282000714915,4.10543330424525,13.1107102426031,12.5771291768954,12.3415558820674
78,325781.3,96870,53.28,46.72,29.728986,3143.75,137237.5,78106.25,0,806.25,67750,0,33312.5,0,5425,221.325503,39735,31396,91.6000032,"SWEDEN",163.305,"SWEDEN",5.09561961800125,12.6939815763266,11.4811251524204,3.39212252946569,11.1235944987806,10.5900128567872,10.3544676259307
79,11758868.8,16191618,61.6,38.4,137.696696,92700,1828868.75,870168.75,1042506.25,67668.75,7551162.5,131.25,88450,0,217212.5,169.820506,6841272,2633090,51.1098997,"POLAND",57681.0625,"POLAND",10.9626841923856,16.280118305332,16.6000042588938,4.92505341125648,15.8372122153124,15.7384843833933,14.7836689992181
80,296231.3,4127,0,100,1.39325642,50,221931.25,60693.75,0,3937.5,5781.25,0,3837.5,0,0,348.162186,3391,2679,91.6000032,"SWEDEN",62.075,"SWEDEN",4.12834333139423,12.5988958470763,8.32530602975258,0.331643755387989,8.66254815927561,8.12917499691179,7.8935720735049
81,2282487.5,169875,79.41,20.59,7.44249869,1306.25,1280918.75,687468.75,375,17025,40650,0,252650,0,2093.75,376.852208,23579,18945,77.6168396,"FINLAND",551.5425,"FINLAND",6.31271889828105,14.640776414985,12.0428181514534,2.00720663789166,10.6127787149194,10.0681541740914,9.84934810643548
82,114556.3,22308,7.26,92.74,19.4771531,100,29462.5,35150,0,218.75,47731.25,0,1350,0,543.75,283.998161,27898,22400,79,"FINLAND",763.7125,"FINLAND",6.63819140944404,11.6488216841869,10.0127006375094,2.96924214277034,10.7733625490523,10.2363461248732,10.0168608797038
83,617200,128222,58.1,41.9,20.7725344,31281.25,113468.75,136125,40793.75,2381.25,287818.75,0,1668.75,0,3662.5,257.712627,49927,48382,70.2054695,"ESTONIA",2106.7075,"ESTONIA",7.65288158119634,13.3329483994711,11.7615184156102,3.03363165259125,12.5700896951254,10.8183372466139,10.7869037913362
84,265475,20108,51.45,48.55,7.57410113,3568.75,85812.5,130543.75,200,325,39943.75,0,4887.5,0,193.75,260.741106,23349,18748,79,"FINLAND",328.2325,"FINLAND",5.79372219873811,12.489275953272,9.90887302481247,2.02473468164819,10.595252528291,10.058352263097,9.83889569664295
85,1121000,12571,67.06,32.94,1.12151188,28556.25,591700,131318.75,81256.25,170300,3450,56343.75,54831.25,2593.75,650,533.605826,2025,1600,91.6311462,"SWEDEN",269.3725,"SWEDEN",5.59609518007249,13.9297317020543,9.43914785291483,0.114677667877884,8.146419323098,7.61381868480863,7.37838371299671
86,130575,75805,91.6,8.4,58.0450291,150,19068.75,66925,0,50,40218.75,0,1243.75,0,2918.75,290.703717,23506,18874,79,"FINLAND",1147.5775,"FINLAND",7.04540847778047,11.7797030533045,11.2359195325157,4.06121907312504,10.6021134474943,10.0650535281175,9.84559357411723
87,1474931.3,1223131,71.11,28.89,82.931117,29568.75,103637.5,106656.25,87781.25,4731.25,1099106.25,0,29187.5,0,14262.5,204.790121,493414,218431,30.3579506,"RUSSIA",3533.7475,"RUSSIA",8.17011420154381,14.2041219704002,14.016924522588,4.41801034756329,13.9100088173413,13.1091058839124,12.2942300322664
88,374325,16029,2.08,97.92,4.28204035,1575,128406.25,180350,400,3856.25,40893.75,0,18843.75,0,0,258.093845,23904,19193,79,"FINLAND",416.7975,"FINLAND",6.03260049234055,12.8328796830059,9.68215486062588,1.45442961328984,10.6187569719336,10.0818429210602,9.86235300917757
89,413768.8,4693,0,100,1.13428861,312.5,252243.75,70250,175,76531.25,3525,0,10731.25,0,0,314.678682,2067,1633,91.6000032,"SWEDEN",57.9425,"SWEDEN",4.05945113949458,12.9330626427076,8.45382731579442,0.126005679097198,8.16791936295782,7.63433723562832,7.39878627541995
90,186031.3,5090,0,100,2.73702533,0,137700,33581.25,0,350,1650,0,12750,0,0,287.401103,968,765,91.6000032,"SWEDEN",70.04,"SWEDEN",4.24906650741765,12.1336702181078,8.53503310954457,1.0068716846741,7.40913644392013,6.87626461189077,6.64118216974059
91,189575,82627,60.51,39.49,43.5888426,23131.25,18412.5,41093.75,1662.5,675,96068.75,0,5800,0,2731.25,208.588335,56344,44519,91.6000032,"SWEDEN",665.005924,"SWEDEN",6.49979594888685,12.1525400035691,11.3220917826099,3.77480121393633,11.4728297691312,10.9392487843865,10.7036938053895
92,362381.3,42126,9.97,90.03,11.6247736,41631.25,39793.75,74293.75,20362.5,850,178737.5,0,6106.25,0,606.25,288.802168,26912,27611,65.8922202,"LATVIA",1576.4175,"LATVIA",7.36291014650257,12.8004522513781,10.6484204062453,2.45313847601496,12.0936791228223,10.2003647202274,10.2260057398234
93,437143.8,17159,0,100,3.92488247,2393.75,98081.25,254043.75,337.5,7100,66262.5,0,8925,0,0,276.284598,38734,31100,79,"FINLAND",478.2625,"FINLAND",6.17015974493646,12.9880174817337,9.75027809628562,1.367336406837,11.1013944966744,10.564498863066,10.3449952519912
94,321800,2822,74.83,25.17,0.87706986,0,176056.25,106643.75,143.75,9768.75,9831.25,0,19356.25,0,0,444.867426,5747,4614,79,"FINLAND",128.3925,"FINLAND",4.85509197833491,12.6816855135404,7.94520113241276,-0.131168631857735,9.19342307809917,8.65660724719891,8.43706714693695
95,46793.8,5418,49.21,50.79,11.579057,0,31481.25,7587.5,0,0,7437.5,0,281.25,0,6.25,221.515183,4348,3491,79,"FINLAND",154.01,"FINLAND",5.03701753537037,10.7535059944972,8.59748202264504,2.44919803532292,8.9144244945973,8.37770121259764,8.15822991695949
96,1157712.5,51356,55.15,44.85,4.43599094,48400,586687.5,167731.25,72375,81356.25,7331.25,53175,138443.75,0,2212.5,468.302993,4300,3398,91.6009189,"SWEDEN",288.675,"SWEDEN",5.66530148783792,13.961956633406,10.846537053711,1.48975102710551,8.90003770548687,8.36660283278374,8.13123654969612
97,40656.3,850,0,100,2.09329715,0,23831.25,15531.25,0,431.25,287.5,0,575,0,0,387.629378,169,133,91.6000032,"SWEDEN",6.6025,"SWEDEN",1.88744836518915,10.6129090845174,6.74523634948436,0.738740406630763,5.66469508594815,5.13579843705026,4.89783979995091
98,3961218.8,77809,53.9,46.1,1.96422844,378256.25,974393.75,948162.5,599312.5,712468.75,49300,103725,188393.75,4168.75,3037.5,349.561928,28878,22966,87.3318393,"SWEDEN",681.495,"SWEDEN",6.52428891435252,15.1920623136546,11.2620123847099,0.675099516813988,10.8056996438007,10.2708699663685,10.0418136820164
99,2673562.5,110515,65.44,34.56,4.13342335,199925,1360168.75,467493.75,178868.75,178337.5,34962.5,99318.75,150493.75,275,3718.75,542.334391,20515,16209,91.6274817,"SWEDEN",669.8175,"SWEDEN",6.50700528722094,14.7989224106926,11.6129065373335,1.41910596193155,10.4620599391748,9.92896034850916,9.69338361472972
100,81931.3,31617,72.03,27.97,38.599758,50,19543.75,27987.5,137.5,75,32681.25,0,325,0,1131.25,257.142487,19104,15339,79,"FINLAND",466.6025,"FINLAND",6.14547771748125,11.3136363702137,10.361450229602,3.65324600702108,10.3945873960531,9.857705359881,9.63821907492125
101,172581.3,454560,98.8,1.2,263.361327,93.75,39493.75,73650,493.75,193.75,39487.5,0,3412.5,0,15756.25,308.141328,23082,18533,79,"FINLAND",1096.005,"FINLAND",6.99942702954135,12.0586237087724,13.027085197088,5.57352695620627,10.5837647692595,10.046851694844,9.82736216214664
102,1159675,349567,46.77,53.23,30.1426835,26350,124331.25,171050,101225,1000,720037.5,0,7156.25,0,8525,200.397492,154375,142703,61.7229284,"LATVIA",5082.7225,"LATVIA",8.53360232221276,13.9636503514131,12.7644505247155,3.40594222374065,13.4870599617849,11.9471464640762,11.868527833906
103,32412.5,869,0,100,2.68005265,475,21743.75,6131.25,0,50,3631.25,0,381.25,0,0,444.645099,2123,1704,79,"FINLAND",124.5875,"FINLAND",4.82500828029357,10.3862994298469,6.76734312526539,0.985836439852183,8.19760756995145,7.66105638236183,7.44132038971762
104,215275,96932,79.08,20.92,45.0217917,9168.75,113887.5,58456.25,206.25,0,22056.25,0,6600,0,4900,668.671052,12936,10221,91.6000032,"SWEDEN",1019.4025,"SWEDEN",6.92697195032593,12.2796715595644,11.4817649807206,3.80714663255429,10.0013966250187,9.4678467019179,9.23229753932823
105,19289931.3,23390678,57.47,42.53,121.258568,559281.25,2206700,1386943.75,2242831.25,96237.5,12410143.8,2706.25,152218.75,0,232868.75,209.192573,9961416,3809067,46.7205994,"POLAND",77492.0575,"POLAND",11.2579307262186,16.7750938234448,16.9678481248867,4.79792519123854,16.3340248251224,16.1142298885178,15.1528950977561
